"Jour","Mois","Titre","Catégorie","Stat","Difficulté","Temps","Coût","Objectif","Pourquoi","Instructions","Variante facile","Variante difficile","Récompense","Statut","Validé","Date de validation","Ressenti"
"150","Mois 5","La séance qui prouve le chemin","Sport","Vitalité","6","40 min","0 €","Réaliser un entraînement complet de 30 minutes mêlant cardio et renforcement, et le comparer à ta forme du début de mois.","À mi-mois, tu rassembles tout ce que tu as installé : mouvement, intensité, écoute du corps. Une vraie séance complète te fait toucher du doigt, par la sensation, le chemin parcouru en quelques semaines.","Structure 30 minutes : échauffement, bloc cardio, bloc renforcement, retour au calme. Alterne poids du corps (squats, pompes, fentes, gainage) et cardio. Compare ton ressenti d'effort à ta forme du début de mois : récupération, souffle, force.","Séance de 20 minutes à intensité modérée.","Pousse à 45 minutes en circuits enchaînés, peu de repos.","Tu sens noir sur blanc ta progression du mois. La fierté d'une séance impensable il y a quatre semaines.","À venir","Non","",""
"151","Mois 5","Les trois habitudes à garder à vie","Santé","Mental","6","30 min","0 €","Faire le point sur le mois et choisir trois habitudes qui t'ont vraiment chargé, pour les ancrer dans ta vie.","Un mois d'expériences ne sert que si tu en tires des habitudes durables. Ce bilan transforme tes 31 défis en un système de santé personnel, taillé sur tes sensations à toi, pas sur une théorie générale.","Relis tes ressentis du mois et repère les expériences qui t'ont le plus rechargé. Choisis-en trois et écris, pour chacune, le déclencheur concret qui la rendra automatique (quand, où, après quoi). Fixe un rappel réel pour la première semaine du mois suivant.","Choisis une seule habitude santé à ancrer pour de bon.","Construis un mini-plan santé écrit pour le mois suivant.","Tu clôtures le mois avec un plan clair et des bases solides. Tu as transformé des défis ponctuels en mode de vie.","À venir","Non","",""
"152","Mois 6","La tâche reine","Productivité","Discipline","5","1 tâche en début de journée","0 €","Identifier et faire EN PREMIER la tâche la plus importante de ta journée, avant tout le reste.","La plupart des journées se noient dans l'urgent et le facile, et l'important glisse à demain. Faire ta tâche reine en premier garantit que, même si tout part en vrille, ta journée aura compté.","1. Ce soir ou ce matin, écris la seule tâche qui, si elle est faite, rendra ta journée utile. 2. Demain matin, attaque-la avant les emails, les messages et le café traînant. 3. Ne touche à rien d'autre tant qu'elle n'est pas terminée.","Choisis une tâche courte pour démarrer l'habitude en douceur.","Choisis la tâche que tu repousses depuis le plus longtemps.","Tu ressens la paix de celui qui a déjà gagné sa journée dès le matin.","À venir","Non","",""
"153","Mois 6","Le poste de travail d'ailleurs","Productivité","Discipline","5","2 h sur place","0 € (un café éventuel)","Travailler 2 heures depuis un lieu nouveau — bibliothèque, café, banc — et observer ce que ça fait à ton focus.","Ton environnement habituel porte tous tes réflexes de distraction. Changer de décor casse l'automatisme et te révèle dans quelles conditions ton attention tient vraiment.","1. Choisis un lieu où tu ne travailles jamais et emporte le strict minimum. 2. Installe-toi et travaille 2 heures sur une vraie tâche, pas du remplissage. 3. En partant, note ce que tu as remarqué : tu étais plus, ou moins, concentré qu'à ton poste habituel ?","Reste 1 heure dans un lieu calme et proche.","Choisis un lieu un peu inconfortable (animé, sans prise) et tiens quand même tes 2 heures.","Tu découvres que ton focus dépend autant du lieu que de ta volonté — et que tu peux le choisir.","À venir","Non","",""
"154","Mois 6","Le bloc protégé","Productivité","Discipline","5","1 bloc de travail","0 €","Travailler sur une seule tâche pendant un bloc minuté, sans aucune interruption.","Le multitâche est un mythe : chaque bascule te coûte plusieurs minutes de reconcentration. Un bloc protégé t'apprend ce que ton cerveau peut produire quand on le laisse tranquille.","1. Choisis une tâche et lance un minuteur sur un bloc que tu tiendras vraiment. 2. Téléphone en mode avion, dans une autre pièce, onglets inutiles fermés. 3. Si une distraction surgit, note-la sur papier et reviens à ta tâche sans la traiter.","Pars sur un bloc plus court pour réussir ton premier essai.","Enchaîne un deuxième bloc après une vraie pause sans écran.","Tu mesures l'écart entre une heure « occupée » et une heure réellement productive.","À venir","Non","",""
"155","Mois 6","La règle des 2 minutes","Productivité","Discipline","5","Sur la journée","0 €","Traiter immédiatement toute tâche qui prend moins de 2 minutes, au lieu de la reporter.","Les micro-tâches reportées s'accumulent en une montagne de charge mentale. Les régler à la volée vide ta tête et te prouve que l'action vaut mieux que la liste.","1. Toute la journée, dès qu'une tâche apparaît, estime sa durée. 2. Si elle prend moins de 2 minutes — répondre, ranger, payer, jeter — fais-la sur-le-champ. 3. Le soir, repère ce que tu n'as pas laissé traîner pour rien.","Applique la règle uniquement à la maison.","Applique-la aussi à tes messages : aucune notification ouverte ne reste « à traiter ».","Tu ressens le soulagement d'une journée sans arriéré qui te trotte dans la tête.","À venir","Non","",""
"156","Mois 6","Le silence des notifications","Productivité","Mental","5","15 min de réglage","0 €","Couper toutes les notifications non essentielles et observer ce que ça change à ton attention.","Chaque notification est une mini-prise de pouvoir sur ton attention. En les coupant, tu reprends la main sur QUAND tu regardes ton téléphone, au lieu de réagir en pavlov.","1. Ouvre les réglages de notifications de ton téléphone. 2. Désactive tout sauf l'essentiel : appels, messages directs des proches. 3. En particulier, coupe réseaux sociaux, jeux, actus, promos — puis remarque dans la journée ce que ton calme te révèle.","Coupe au moins les applis qui te notifient le plus.","Passe ton écran en niveaux de gris pour la journée pour réduire l'attrait.","Tu retrouves un téléphone qui se tait — et un cerveau qui respire.","À venir","Non","",""
"157","Mois 6","Le oui qu'on retire","Sortie de zone de confort","Courage","6","10 min","0 €","Renégocier un « oui » de complaisance donné cette semaine et le retirer poliment.","Refuser au départ est dur ; revenir sur un oui déjà donné l'est encore plus. C'est exactement pour ça que ça compte : tu apprends que ta parole peut se corriger sans drame, et que protéger ton temps vaut un moment d'inconfort.","1. Repère un oui que tu as lâché par réflexe cette semaine et que tu regrettes. 2. Contacte la personne et dis-le simplement : « En y repensant, je ne vais pas pouvoir tenir, je préfère te le dire maintenant. » 3. Propose une alternative seulement si tu le veux vraiment, sans te noyer en excuses.","Fais-le par message plutôt qu'en direct.","Retire un oui donné à quelqu'un devant qui tu as l'habitude de céder.","Tu découvres qu'un engagement repris à temps te respecte plus qu'un oui subi jusqu'au bout.","À venir","Non","",""
"158","Mois 6","La to-do honnête","Organisation","Discipline","5","15 min","0 €","Réduire ta liste de tâches à 3 priorités réalistes pour la journée.","Une liste de 20 tâches ne motive pas, elle écrase. Trois priorités claires transforment une montagne floue en un plan que tu peux réellement accomplir.","1. Écris en vrac tout ce que tu « devrais » faire. 2. Entoure les 3 tâches qui ont le plus d'impact aujourd'hui. 3. Mets le reste sur une liste « plus tard » et concentre-toi uniquement sur les 3.","Choisis 1 seule priorité du jour pour commencer.","Tiens-toi à cette règle des 3 priorités toute la journée, sans rien ajouter.","Tu ressens la clarté de savoir exactement quoi faire au lieu de te disperser.","À venir","Non","",""
"159","Mois 6","Mange la grenouille","Discipline","Discipline","6","Le matin","0 €","Attaquer en premier la tâche que tu redoutes le plus, avant qu'elle ne pourrisse ta journée.","La tâche qu'on évite ne disparaît pas : elle te draine en arrière-plan toute la journée. L'affronter d'abord supprime cette charge et te donne un élan que rien n'arrête.","1. Identifie la tâche que tu repousses parce qu'elle te pèse — appel gênant, démarche, dossier. 2. Avant toute autre chose aujourd'hui, mets-toi dessus pleinement. 3. Si elle n'est pas finie, au moins tu l'as commencée : l'essentiel est brisé.","Engage juste le premier pas concret — composer le numéro, ouvrir le dossier.","Termine entièrement la tâche redoutée aujourd'hui.","Tu ressens l'énergie de celui qui a tué le dragon dès le matin.","À venir","Non","",""
"160","Mois 6","Le batch des tâches","Productivité","Discipline","5","1 créneau dédié","0 €","Regrouper toutes les tâches d'un même type pour les traiter en une seule fois.","Passer d'un type de tâche à l'autre fatigue ton cerveau. Grouper — tous les appels, tous les messages, toutes les courses — supprime ce coût caché et accélère tout.","1. Choisis un type de tâche éparpillé dans ta semaine : appels, messages, paperasse. 2. Bloque un créneau unique et traite-les toutes d'affilée. 3. Repère combien de fois tu aurais sinon « rouvert » ce sujet dans la journée.","Batche une seule catégorie de petites tâches.","Planifie tes batchs récurrents pour la semaine à venir.","Tu ressens l'efficacité fluide de celui qui ne saute plus de sujet en sujet.","À venir","Non","",""
"161","Mois 6","La photo de ta journée","Productivité","Discipline","5","Sur la journée + 5 min le soir","0 €","Prendre une photo de chaque tâche finie dans la journée, puis regarder ce bilan visuel le soir.","On finit des choses toute la journée sans jamais les voir s'accumuler — d'où ce sentiment de « rien fait ». Rendre tes victoires visibles change ce que tu ressens de ta journée, pas seulement ce que tu en penses.","1. Aujourd'hui, dès qu'une tâche est terminée, prends-la en photo : l'évier vide, le mail parti, le carton fermé. 2. Laisse ces photos s'accumuler sans les regarder en cours de route. 3. Le soir, fais défiler la pellicule et observe ce que ta journée a réellement produit.","Photographie seulement tes 3 tâches les plus importantes.","Montre ton bilan visuel à quelqu'un et raconte-lui ta journée à partir des images.","Tu vois noir sur blanc que tu en as fait plus que ton cerveau ne voulait l'admettre.","À venir","Non","",""
